IP,Port,HTTP Code,Response Duration,Error message
176.113.19.87,32977,0,0.063145,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 176.113.19.87:32977: connect: connection refused
91.203.114.105,45770,0,0.073701,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 91.203.114.105:45770: connect: connection refused
81.24.82.69,37016,0,0.078577,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 81.24.82.69:37016: connect: no route to host
31.217.222.160,50750,0,0.085271,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 31.217.222.160:50750: connect: connection refused
95.181.75.228,53281,0,0.133334,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 95.181.75.228:53281: connect: connection refused
206.189.182.251,1080,0,0.142476,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 206.189.182.251:1080: connect: connection refused
83.147.243.252,39052,0,0.141721,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 83.147.243.252:39052: connect: connection refused
194.67.37.90,3128,0,0.105530,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 194.67.37.90:3128: connect: connection refused
91.203.114.105,45770,0,0.108670,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 91.203.114.105:45770: connect: connection refused
92.62.72.23,59085,0,0.142527,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 92.62.72.23:59085: connect: connection refused
24.226.159.195,43987,0,0.169360,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 24.226.159.195:43987: connect: connection refused
40.91.214.91,80,405,0.170170,
81.24.82.69,37016,0,0.133126,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 81.24.82.69:37016: connect: no route to host
95.181.75.228,53281,0,0.159854,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 95.181.75.228:53281: connect: connection refused
82.100.4.63,30595,0,0.145124,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 82.100.4.63:30595: connect: connection refused
92.62.72.23,59085,0,0.149683,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 92.62.72.23:59085: connect: connection refused
92.247.169.149,57565,0,0.158508,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 92.247.169.149:57565: connect: connection refused
213.6.199.94,55723,0,0.160668,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 213.6.199.94:55723: connect: connection refused
IP Address,Port,200,0.169319,
51.15.56.139,19001,0,0.210923,Head http://www.profinance.ru: read tcp 172.17.0.4:40334->51.15.56.139:19001: read: connection reset by peer
201.219.55.170,57938,0,0.218310,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 201.219.55.170:57938: connect: connection refused
91.92.78.201,39363,0,0.176711,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 91.92.78.201:39363: connect: connection refused
5.59.141.68,54684,0,0.072103,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 5.59.141.68:54684: connect: connection refused
217.73.177.132,37641,0,0.182195,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 217.73.177.132:37641: connect: connection refused
119.82.253.200,54080,0,0.234935,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 119.82.253.200:54080: connect: connection refused
101.255.32.225,39965,0,0.235369,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 101.255.32.225:39965: connect: connection refused
200.58.84.165,36046,0,0.235826,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 200.58.84.165:36046: connect: connection refused
206.189.182.251,1080,0,0.203214,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 206.189.182.251:1080: connect: connection refused
24.226.159.195,43987,0,0.224578,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 24.226.159.195:43987: connect: connection refused
190.186.89.150,36395,0,0.258628,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 190.186.89.150:36395: connect: connection refused
119.235.53.135,30904,0,0.227926,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 119.235.53.135:30904: connect: connection refused
172.86.115.27,3199,403,0.288239,
172.86.115.211,3199,403,0.294452,
36.89.65.253,37991,0,0.298295,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 36.89.65.253:37991: connect: connection refused
105.27.143.190,53962,0,0.303472,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 105.27.143.190:53962: connect: connection refused
196.41.102.130,56882,0,0.324855,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 196.41.102.130:56882: connect: connection refused
200.58.84.165,36046,0,0.329483,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 200.58.84.165:36046: connect: connection refused
103.111.56.60,53281,0,0.308119,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 103.111.56.60:53281: connect: connection refused
177.46.147.57,60189,0,0.308449,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 177.46.147.57:60189: connect: connection refused
91.92.78.201,39363,0,0.130699,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 91.92.78.201:39363: connect: connection refused
41.180.65.27,58810,0,0.329095,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 41.180.65.27:58810: connect: connection refused
103.111.56.60,53281,0,0.308872,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 103.111.56.60:53281: connect: connection refused
42.115.88.74,48255,0,0.309377,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 42.115.88.74:48255: connect: connection refused
182.253.115.66,41616,0,0.335872,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 182.253.115.66:41616: connect: connection refused
82.77.114.201,3128,0,0.113514,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 82.77.114.201:3128: connect: connection refused
202.138.236.35,51490,0,0.365265,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 202.138.236.35:51490: connect: connection refused
200.24.240.187,54747,0,0.367363,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 200.24.240.187:54747: connect: connection refused
1.20.101.201,45863,0,0.369178,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 1.20.101.201:45863: connect: connection refused
